Main Stone,UPC,Name,Price,Condition,Fastening,Base Metal,Closure,Theme,Description,Style,Metal,Country/Region of Manufacture,Brand,Metal Purity,Country of Origin,Type
No Stone,164665121750,"14K Yellow Or White Solid Gold Earring Backs 1 Pair Butterfly, Multiple Sizes",$25.83 to $37.07,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Butterfly,Gold,Butterfly,14K Gold Backs,"Stamped Genuine 14kt Gold Butterfly Backs

Choose your Color

1 Pair Included (2 Pieces)

Sizes:
Small 4x4
Large 6x5

Free Shipping

Perfect replacement for your lost earring backs 

Please See Our Other Items

Free Velvet Gift Pouch

About Oliver & Navy:
Based in NYC, In the heart of the jewelry district. We have been in the business for over 20+ manufacturing and importing from all over the world. We Are the lowest price online and carry a nice variety of 14K And Sterling Silver Products Customers always #1 Priority, GUARANTEED Please let us know if you have any questions

Payment Info:
We accept payment through PayPal. You can use any major credit card or checking/bank account through the PayPal system. We don’t accept any other method of payment besides PayPal. Please follow the eBay checkout system to pay us securely once you have completed your purchases. For any questions, please use eBay's ""Ask Seller a Question"" link at the bottom of the listing.
 Return Policy:
Your satisfaction is our priority, so we offer a simple 30 Day Money-Back Guarantee. If you are not completely satisfied with your jewelry, simply send it back to us (including all original packaging) within 30 days and we will issue you all refund of your purchase. Our returns department will process and inspect your returned items for signs of wear (please make sure they still look brand new), and will promptly issue a PayPal refund within 7 days. Please contact us if you would like to initiate a return, so that we may guide you through the process. We can be reached through the ""Ask Seller a Question"" link on the listing. In the unlikely event that your jewelry arrives broken or damaged, rest assured that we will promptly issue a replacement or full refund (whichever you prefer).
 Have Questions?

If you have any questions about our products or your order please feel free to contact us through eBay's ""Ask Seller a Question"" link at the bottom of the listing. We will try our best to reply as soon as possible, usually within 24 hours or less",Stud,14k Gold,Italy,Unbranded,14k,,Earrings
No Stone,,14K Yellow Or White Solid Gold Earring Backs 1 Pair Butterfly Large,$40.87,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Butterfly,14k Gold,Butterfly,14K Gold Backs,"Stamped Genuine 14kt Gold Butterfly Backs

MEDIUM SIZED

Choose your Color

1 Pair Included (2 Pieces)

Size: 5mm x 5 mm

Free Shipping

Perfect replacement for your lost earring backs 

Please See Our Other Items

Free Velvet Gift Pouch

About Oliver & Navy:
Based in NYC, In the heart of the jewelry district. We have been in the business for over 20+ manufacturing and importing from all over the world. We Are the lowest price online and carry a nice variety of 14K And Sterling Silver Products Customers always #1 Priority, GUARANTEED Please let us know if you have any questions",Stud,Yellow Gold or White Gold,Italy,Oliver & Navy,14k,United States,Earrings
No Stone,1646651216781,Solid 14k White Gold Earrings Pushbacks 3mm Butterfly - Pair,$25.95,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Butterfly,,,"Beauty, Earring Backs","Brand New, Unused Genuine 14kt White Gold Backs

This is for stud push back, properly Stamped 14kt

This is real 14kt gold, NOT plated or filled

Size is 4x4, Small 

See image for reference

Free Shipping

Free Velvet Gift Pouch

Please see our other Items

Payment Info:
We accept payment through PayPal. You can use any major credit card or checking/bank account through the PayPal system. We don’t accept any other method of payment besides PayPal. Please follow the eBay checkout system to pay us securely once you have completed your purchases. For any questions, please use eBay's ""Ask Seller a Question"" link at the bottom of the listing.
 Return Policy:
Your satisfaction is our priority, so we offer a simple 30 Day Money-Back Guarantee. If you are not completely satisfied with your jewelry, simply send it back to us (including all original packaging) within 30 days and we will issue you all refund of your purchase. Our returns department will process and inspect your returned items for signs of wear (please make sure they still look brand new), and will promptly issue a PayPal refund within 7 days. Please contact us if you would like to initiate a return, so that we may guide you through the process. We can be reached through the ""Ask Seller a Question"" link on the listing. In the unlikely event that your jewelry arrives broken or damaged, rest assured that we will promptly issue a replacement or full refund (whichever you prefer).
 Have Questions?

If you have any questions about our products or your order please feel free to contact us through eBay's ""Ask Seller a Question"" link at the bottom of the listing. We will try our best to reply as soon as possible, usually within 24 hours or less",Stud,Rose Gold,United States,Unbranded,14k,,Earrings
No Stone,1646651217030,New Pair Solid 14K Rose Gold Earrings Pushbacks 3mm Butterfly,$25.95,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Butterfly,,,Beauty,"Brand New, Unused Genuine 14kt Rose Gold Backs

This is for stud push back, properly stamped

This is real 14kt gold, NOT plated or filled

Size is 4x4, Small 

See image for reference

Free Shipping

Free Velvet Gift Pouch

Please see our other Items!

Payment Info:
We accept payment through PayPal. You can use any major credit card or checking/bank account through the PayPal system. We don’t accept any other method of payment besides PayPal. Please follow the eBay checkout system to pay us securely once you have completed your purchases. For any questions, please use eBay's ""Ask Seller a Question"" link at the bottom of the listing.
 Return Policy:
Your satisfaction is our priority, so we offer a simple 30 Day Money-Back Guarantee. If you are not completely satisfied with your jewelry, simply send it back to us (including all original packaging) within 30 days and we will issue you all refund of your purchase. Our returns department will process and inspect your returned items for signs of wear (please make sure they still look brand new), and will promptly issue a PayPal refund within 7 days. Please contact us if you would like to initiate a return, so that we may guide you through the process. We can be reached through the ""Ask Seller a Question"" link on the listing. In the unlikely event that your jewelry arrives broken or damaged, rest assured that we will promptly issue a replacement or full refund (whichever you prefer).
 Have Questions?

If you have any questions about our products or your order please feel free to contact us through eBay's ""Ask Seller a Question"" link at the bottom of the listing. We will try our best to reply as soon as possible, usually within 24 hours or less",Stud,Rose Gold,United States,Unbranded,14k,,Earrings
No Stone,1646651217276,14K Yellow Or White Solid Gold Earring Backs 1 Pair Butterfly Medium Sized 4x4,$25.83,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Butterfly,,,14K Gold Backs,"Stamped Genuine 14kt Gold Butterfly Backs

MEDIUM SIZED

Choose your Color

1 Pair Included (2 Pieces)

Size: 4x4

Free Shipping

Perfect replacement for your lost earring backs 

Please See Our Other Items

Free Velvet Gift Pouch

About Oliver & Navy:
Based in NYC, In the heart of the jewelry district. We have been in the business for over 20+ manufacturing and importing from all over the world. We Are the lowest price online and carry a nice variety of 14K And Sterling Silver Products Customers always #1 Priority, GUARANTEED Please let us know if you have any questions

Payment Info:
We accept payment through PayPal. You can use any major credit card or checking/bank account through the PayPal system. We don’t accept any other method of payment besides PayPal. Please follow the eBay checkout system to pay us securely once you have completed your purchases. For any questions, please use eBay's ""Ask Seller a Question"" link at the bottom of the listing.
 Return Policy:
Your satisfaction is our priority, so we offer a simple 30 Day Money-Back Guarantee. If you are not completely satisfied with your jewelry, simply send it back to us (including all original packaging) within 30 days and we will issue you all refund of your purchase. Our returns department will process and inspect your returned items for signs of wear (please make sure they still look brand new), and will promptly issue a PayPal refund within 7 days. Please contact us if you would like to initiate a return, so that we may guide you through the process. We can be reached through the ""Ask Seller a Question"" link on the listing. In the unlikely event that your jewelry arrives broken or damaged, rest assured that we will promptly issue a replacement or full refund (whichever you prefer).
 Have Questions?

If you have any questions about our products or your order please feel free to contact us through eBay's ""Ask Seller a Question"" link at the bottom of the listing. We will try our best to reply as soon as possible, usually within 24 hours or less",Stud,Yellow Gold or White Gold,Italy,Oliviany,14k,,Earrings
No Stone,164665121743,14K Yellow Or White Solid Gold Earring Backs 1 Pair Butterfly - Choose Color,$25.83,"New with tags: A brand-new, unused, and unworn item (including handmade items) in the original ...",Butterfly,,,14K Gold Backs,"Stamped Genuine 14kt Gold Butterfly Backs

Choose your Color

1 Pair Included (2 Pieces)

Size: 4x4

Free Shipping

Perfect replacement for your lost earring backs 

Please See Our Other Items

Free Velvet Gift Pouch

About Oliver & Navy:
Based in NYC, In the heart of the jewelry district. We have been in the business for over 20+ manufacturing and importing from all over the world. We Are the lowest price online and carry a nice variety of 14K And Sterling Silver Products Customers always #1 Priority, GUARANTEED Please let us know if you have any questions

Payment Info:
We accept payment through PayPal. You can use any major credit card or checking/bank account through the PayPal system. We don’t accept any other method of payment besides PayPal. Please follow the eBay checkout system to pay us securely once you have completed your purchases. For any questions, please use eBay's ""Ask Seller a Question"" link at the bottom of the listing.
 Return Policy:
Your satisfaction is our priority, so we offer a simple 30 Day Money-Back Guarantee. If you are not completely satisfied with your jewelry, simply send it back to us (including all original packaging) within 30 days and we will issue you all refund of your purchase. Our returns department will process and inspect your returned items for signs of wear (please make sure they still look brand new), and will promptly issue a PayPal refund within 7 days. Please contact us if you would like to initiate a return, so that we may guide you through the process. We can be reached through the ""Ask Seller a Question"" link on the listing. In the unlikely event that your jewelry arrives broken or damaged, rest assured that we will promptly issue a replacement or full refund (whichever you prefer).
 Have Questions?

If you have any questions about our products or your order please feel free to contact us through eBay's ""Ask Seller a Question"" link at the bottom of the listing. We will try our best to reply as soon as possible, usually within 24 hours or less",Stud,Yellow Gold or White Gold,Italy,Oliviany,14k,,Earrings
